"game_date","game","shot_type","shot_game","run_timestamp_utc","site","prob_model","line_model","prob","line","edge","kelly","units","units_standardized"
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-22 19:21:16.7471,"dk",0.7607,-318,0.84,-525,-0.0793,-0.2479,-12.396,-9.684375
2026-05-22,"DAL @ ATL","three point field goal","DAL @ ATL three point field goal",2026-05-22 19:51:15.684923,"dk",0.2491,301,0.2597,285,-0.0106,-0.0072,-0.3592,-0.280625
2026-05-22,"GSV @ IND","three point field goal","GSV @ IND three point field goal",2026-05-22 19:51:15.684923,"dk",0.2644,278,0.3125,220,-0.0481,-0.035,-1.7495,-1.366796875
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-22 19:51:15.684923,"dk",0.2393,318,0.2381,320,0.0012,8e-04,0.0407,0.031796875
2026-05-22,"DAL @ ATL","two point field goal","DAL @ ATL two point field goal",2026-05-22 19:51:15.684923,"dk",0.7509,-301,0.8182,-450,-0.0673,-0.185,-9.2517,-7.227890625
2026-05-22,"GSV @ IND","two point field goal","GSV @ IND two point field goal",2026-05-22 19:51:15.684923,"dk",0.7356,-278,0.7619,-320,-0.0263,-0.0552,-2.7609,-2.156953125
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-22 19:51:15.684923,"dk",0.7607,-318,0.84,-525,-0.0793,-0.2479,-12.396,-9.684375
2026-05-22,"DAL @ ATL","three point field goal","DAL @ ATL three point field goal",2026-05-22 20:21:16.466859,"dk",0.2491,301,0.2597,285,-0.0106,-0.0072,-0.3592,-0.280625
2026-05-22,"GSV @ IND","three point field goal","GSV @ IND three point field goal",2026-05-22 20:21:16.466859,"dk",0.2644,278,0.3125,220,-0.0481,-0.035,-1.7495,-1.366796875
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-22 20:21:16.466859,"dk",0.2393,318,0.2381,320,0.0012,8e-04,0.0407,0.031796875
2026-05-22,"DAL @ ATL","two point field goal","DAL @ ATL two point field goal",2026-05-22 20:21:16.466859,"dk",0.7509,-301,0.8182,-450,-0.0673,-0.185,-9.2517,-7.227890625
2026-05-22,"GSV @ IND","two point field goal","GSV @ IND two point field goal",2026-05-22 20:21:16.466859,"dk",0.7356,-278,0.7619,-320,-0.0263,-0.0552,-2.7609,-2.156953125
2026-05-22,"CON @ SEA","two point field goal","CON @ SEA two point field goal",2026-05-22 20:21:16.466859,"dk",0.7607,-318,0.84,-525,-0.0793,-0.2479,-12.396,-9.684375
2026-05-22,"DAL @ ATL","three point field goal","DAL @ ATL three point field goal",2026-05-22 20:51:16.082618,"dk",0.2491,301,0.2597,285,-0.0106,-0.0072,-0.3592,-0.280625
2026-05-22,"GSV @ IND","three point field goal","GSV @ IND three point field goal",2026-05-22 20:51:16.082618,"dk",0.2644,278,0.3125,220,-0.0481,-0.035,-1.7495,-1.366796875
2026-05-22,"CON @ SEA","three point field goal","CON @ SEA three point field goal",2026-05-22 20:51:16.082618,"dk",0.2393,318,0.2381,320,0.0012,8e-04,0.0407,0.031796875
2026-05-22,"DAL @ ATL","two point field goal","DAL @ ATL two point field goal",2026-05-22 20:51:16.082618,"dk",0.7509,-301,0.8182,-450,-0.0673,-0.185,-9.2517,-7.227890625
2026-05-22,"GSV @ IND","two point field goal","GSV @ IND two point field goal",2026-05-22 20:51:16.082618,"dk",0.7356,-278,0.7619,-320,-0.0263,-0.0552,-2.7609,-2.156953125
