"game_date","game","player_id","player_name","team_abbreviation","shot_type","shot_player","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-06-05,"PHX @ PDX","1643493","Noemie Brochant","PHX","three point field goal","Noemie Brochant three point field goal",2026-06-05 15:51:23.701712,"dk",0.0714,1300,-0.0131,-0.0071,-0.7055,0.0583,1615,-0.511231884057971
2026-06-05,"PHX @ PDX","1643493","Noemie Brochant","PHX","two point field goal","Noemie Brochant two point field goal",2026-06-05 15:51:23.701712,"dk",0.1,900,0.0034,0.0019,0.1879,0.1034,867,0.136159420289855
2026-06-05,"PHX @ PDX","1643505","Jovana Nogic","PHX","three point field goal","Jovana Nogic three point field goal",2026-06-05 15:51:23.701712,"dk",0.1333,650,-0.063,-0.0364,-3.636,0.0703,1322,-2.63478260869565
2026-06-05,"PHX @ PDX","1643505","Jovana Nogic","PHX","two point field goal","Jovana Nogic two point field goal",2026-06-05 15:51:23.701712,"dk",0.1111,800,0.0496,0.0279,2.7878,0.1607,522,2.02014492753623
2026-06-05,"PHX @ PDX","203826","Alyssa Thomas","PHX","three point field goal","Alyssa Thomas three point field goal",2026-06-05 15:51:23.701712,"dk",0.011,9000,-0.011,-0.0056,-0.5556,0,Inf,-0.402608695652174
2026-06-05,"PHX @ PDX","203826","Alyssa Thomas","PHX","two point field goal","Alyssa Thomas two point field goal",2026-06-05 15:51:23.701712,"dk",0.3175,215,-0.1041,-0.0762,-7.6246,0.2134,369,-5.52507246376812
2026-06-05,"CON @ CHI","1628922","Azura Stevens","CHI","three point field goal","Azura Stevens three point field goal",2026-06-05 16:21:41.113675,"dk",0.1111,800,-0.0516,-0.029,-2.9026,0.0595,1580,-2.10333333333333
2026-06-05,"CON @ CHI","1628922","Azura Stevens","CHI","two point field goal","Azura Stevens two point field goal",2026-06-05 16:21:41.113675,"dk",0.1667,500,-0.0217,-0.013,-1.2997,0.145,590,-0.941811594202899
2026-06-05,"CON @ CHI","1641649","Diamond Miller","CON","three point field goal","Diamond Miller three point field goal",2026-06-05 16:21:41.113675,"dk",0.0556,1700,-0.009,-0.0048,-0.475,0.0466,2047,-0.344202898550725
2026-06-05,"CON @ CHI","1641649","Diamond Miller","CON","two point field goal","Diamond Miller two point field goal",2026-06-05 16:21:41.113675,"dk",0.0714,1300,0.0599,0.0323,3.2254,0.1313,661,2.33724637681159
2026-06-05,"CON @ CHI","1642289","Kamilla Cardoso","CHI","three point field goal","Kamilla Cardoso three point field goal",2026-06-05 16:21:41.113675,"dk",0.0123,8000,-0.0123,-0.0063,-0.625,0,Inf,-0.452898550724638
2026-06-05,"CON @ CHI","1642289","Kamilla Cardoso","CHI","two point field goal","Kamilla Cardoso two point field goal",2026-06-05 16:21:41.113675,"dk",0.3636,175,-0.1038,-0.0815,-8.1528,0.2599,285,-5.90782608695652
2026-06-05,"CON @ CHI","1642292","Jacy Sheldon","CHI","three point field goal","Jacy Sheldon three point field goal",2026-06-05 16:21:41.113675,"dk",0.0769,1200,-0.0248,-0.0134,-1.3446,0.0521,1819,-0.974347826086957
2026-06-05,"CON @ CHI","1642292","Jacy Sheldon","CHI","two point field goal","Jacy Sheldon two point field goal",2026-06-05 16:21:41.113675,"dk",0.0833,1100,0.0319,0.0174,1.7393,0.1152,768,1.26036231884058
2026-06-05,"CON @ CHI","1642303","Leila Lacan","CON","three point field goal","Leila Lacan three point field goal",2026-06-05 16:21:41.113675,"dk",0.0909,1000,-0.0447,-0.0246,-2.4561,0.0463,2062,-1.77978260869565
2026-06-05,"CON @ CHI","1642303","Leila Lacan","CON","two point field goal","Leila Lacan two point field goal",2026-06-05 16:21:41.113675,"dk",0.2,400,-0.0609,-0.0381,-3.8072,0.1391,619,-2.75884057971014
2026-06-05,"CON @ CHI","1642800","Aneesah Morrow","CON","three point field goal","Aneesah Morrow three point field goal",2026-06-05 16:21:41.113675,"dk",0.0714,1300,-0.014,-0.0075,-0.7516,0.0575,1640,-0.54463768115942
2026-06-05,"CON @ CHI","1642800","Aneesah Morrow","CON","two point field goal","Aneesah Morrow two point field goal",2026-06-05 16:21:41.113675,"dk",0.2439,310,-0.0753,-0.0498,-4.9813,0.1686,493,-3.60963768115942
2026-06-05,"CON @ CHI","1642809","Saniya Rivers","CON","three point field goal","Saniya Rivers three point field goal",2026-06-05 16:21:41.113675,"dk",0.0345,2800,0.005,0.0026,0.2578,0.0395,2434,0.186811594202899
2026-06-05,"CON @ CHI","1642809","Saniya Rivers","CON","two point field goal","Saniya Rivers two point field goal",2026-06-05 16:21:41.113675,"dk",0.0833,1100,0.0252,0.0137,1.3724,0.1085,822,0.994492753623189
2026-06-05,"CON @ CHI","203398","Brittney Griner","CON","three point field goal","Brittney Griner three point field goal",2026-06-05 16:21:41.113675,"dk",0.0123,8000,0.0275,0.0139,1.3944,0.0399,2407,1.0104347826087
2026-06-05,"CON @ CHI","203398","Brittney Griner","CON","two point field goal","Brittney Griner two point field goal",2026-06-05 16:21:41.113675,"dk",0.339,195,-0.1186,-0.0897,-8.9728,0.2204,354,-6.50202898550725
2026-06-05,"CON @ CHI","203400","Skylar Diggins","CHI","three point field goal","Skylar Diggins three point field goal",2026-06-05 16:21:41.113675,"dk",0.0556,1700,-0.0095,-0.0051,-0.5055,0.046,2074,-0.366304347826087
2026-06-05,"CON @ CHI","203400","Skylar Diggins","CHI","two point field goal","Skylar Diggins two point field goal",2026-06-05 16:21:41.113675,"dk",0.1538,550,-0.006,-0.0036,-0.3558,0.1478,576,-0.257826086956522
2026-06-05,"CON @ CHI","204333","Natasha Cloud","CHI","three point field goal","Natasha Cloud three point field goal",2026-06-05 16:21:41.113675,"dk",0.0588,1600,-0.0123,-0.0065,-0.6529,0.0465,2049,-0.473115942028986
2026-06-05,"CON @ CHI","204333","Natasha Cloud","CHI","two point field goal","Natasha Cloud two point field goal",2026-06-05 16:21:41.113675,"dk",0.1111,800,0.0143,0.0081,0.8051,0.1254,697,0.583405797101449
2026-06-05,"DAL @ LAS","1628276","Kelsey Plum","LAS","three point field goal","Kelsey Plum three point field goal",2026-06-05 16:21:41.113675,"dk",0.125,700,-0.0611,-0.0349,-3.4913,0.0639,1465,-2.52992753623188
2026-06-05,"DAL @ LAS","1628276","Kelsey Plum","LAS","two point field goal","Kelsey Plum two point field goal",2026-06-05 16:21:41.113675,"dk",0.1818,450,-0.0541,-0.0331,-3.305,0.1277,683,-2.39492753623188
2026-06-05,"DAL @ LAS","1628878","Ariel Atkins","LAS","three point field goal","Ariel Atkins three point field goal",2026-06-05 16:21:41.113675,"dk",0.0625,1500,-0.0095,-0.005,-0.5049,0.053,1786,-0.365869565217391
2026-06-05,"DAL @ LAS","1628878","Ariel Atkins","LAS","two point field goal","Ariel Atkins two point field goal",2026-06-05 16:21:41.113675,"dk",0.1,900,0.0251,0.0139,1.3932,0.1251,700,1.0095652173913
